class,hint
plastic,stiff polymer body; crisp hollow resonance
wood,woody hardstock; dry grain friction
clay,modeling pack; wet sticky sound
foam_lather,wet liquid lather or shaving foam only; soft squish—not solid bar soap
foam_solid,expanded polymer foam; bead squeak porous sponge
glass,bright brittle crystal body or ice or ceramic; sharp ring transient
paper,light fibrous sheet; crinkle and tear rustle
metal,metallic solid or foil; bright ring transient
rubber,elastic silicone or latex; damped squeak stick-slip
wax,wax or solid bar soap; warm low-mid scrape tap or carve
leather,animal hide skin; flex creak surface rub
textile_fibrous,woven pile fabric; soft cotton wool rustle
