verb,hint
bubbling,gas bubbles in liquid
blowing,directed breath or airflow
brushing,bristle or fiber strokes
crackling,flame or dry crackle
crunching,mouth chew or crunch
crushing,rigid or brittle solid breaks or collapses under force
cutting,blade cut or chop
dropping,object drop impact
flipping,flip cards or pages
licking,tongue lick
painting,paint brush strokes with wet paint
piercing,poke or pierce
popping,candy pop
pouring,pour liquid stream
pressing,press or push down
rotating,spin or mechanical whirr
rubbing,sustained rub or slide
rolling,roll object on surface
scratching,sharp tip scratch 
scraping,scrape layer off surface
shaking,shake contents in container
sizzling,hot oil or food sizzle
smashing,wet soft object squished flat (jelly tomato slime)
spreading,smear or spread wet medium
spraying,spray mist or stream
squeezing,squeeze or compress
stretching,stretch or pull deform
sticking,sticky peel or adhere
stirring,stir inside container
tapping,light discrete tap
tearing,tear material apart or peeling off tape
ticking,clock or timer tick
tinkling,metal or glass light ring
typing,keyboard key taps
whispering,whisper or soft mouth
wiping,wipe or cloth on surface
writing,pen or pencil lines
