group_id,alias
ceramic,ceramic
ceramic,clay
ceramic,modeling
ceramic,plaster
ceramic,porcelain
foam_lather,foam_lather
foam_lather,foamy
foam_lather,lather
foam_lather,shaving
foam_solid,acoustic
foam_solid,foam_solid
foam_solid,memory
foam_solid,styrofoam
glass,crystal
glass,crystalline
glass,frosted
glass,glass
leather,leather
leather,suede
metal,aluminum
metal,brass
metal,bronze
metal,copper
metal,foil
metal,gold
metal,iron
metal,metal
metal,metallic
metal,silver
metal,stainless
metal,steel
metal,tin
metal,tuning
metal,wire
paper,cardboard
paper,paper
paper,parchment
plastic,acrylic
plastic,carbon
plastic,plastic
plastic,polymer
plastic,pvc
plastic,resin
plastic,synthetic
plastic,vinyl
rubber,latex
rubber,rubber
rubber,silicone
stone,granite
stone,jade
stone,lava
stone,marble
stone,mica
stone,rock
stone,stone
textile_fibrous,cotton
textile_fibrous,fabric
textile_fibrous,felt
textile_fibrous,fleece
textile_fibrous,linen
textile_fibrous,silk
textile_fibrous,textile_fibrous
textile_fibrous,velvet
textile_fibrous,wool
textile_fibrous,woven
wax,bar soap
wax,beeswax
wax,soap
wax,soap bar
wax,paraffin
wax,soy
wax,wax
wood,balsa
wood,bamboo
wood,basswood
wood,compressed
wood,cork
wood,tongcao
wood,tree
wood,wicker
wood,wood
wood,wooden
