group_id,alias
blowing,blowing
brushing,brushing
brushing,combing
brushing,shaving
brushing,sweeping
bubbling,bubbling
bubbling,dissolving
bubbling,fizzing
bubbling,fizzling
bubbling,sparkling
crackling,burning
crackling,crackling
crunching,crunching
crunching,eating
crushing,breaking
crushing,cracking
crushing,crushing
crushing,destroying
cutting,chopping
cutting,curving
cutting,cutting
cutting,shredding
cutting,slicing
cutting,snipping
dropping,dropping
dropping,falling
flipping,flipping
flipping,folding
flipping,turning
licking,kissing
licking,licking
painting,painting
piercing,inserting
piercing,piercing
piercing,poking
popping,popping
pouring,pouring
pouring,spilling
pouring,sprinkling
pressing,compressing
pressing,crinkling
pressing,pressing
pressing,pushing
pressing,rustling
rolling,rolling
rotating,rotating
rubbing,contacting
rubbing,cupping
rubbing,massaging
rubbing,rubbing
rubbing,scrubbing
rubbing,touching
scraping,carving
scraping,digging
scraping,scraping
scratching,scratching
shaking,shaking
sizzling,roasting
sizzling,sizzling
smashing,mashing
smashing,smashing
smashing,smushing
spraying,spraying
spraying,spritzing
spreading,applying
spreading,moisturizing
spreading,smearing
spreading,spreading
squeezing,grabbing
squeezing,scrunching
squeezing,squeezing
squeezing,squishing
sticking,sticking
stirring,mixing
stirring,stirring
stretching,expanding
stretching,extending
stretching,stretching
stretching,twisting
tapping,patting
tapping,tapping
tearing,peeling
tearing,tearing
ticking,clicking
ticking,ticking
tinkling,tinkling
typing,typing
whispering,whispering
wiping,wiping
writing,drawing
writing,writing
tinkling,tingling
